ham,This was the best I watch it at least 4 times a year﻿
ham,"Katy Perry Best Super Bowl Halftime Ever!
then:
Black Eyed PEas
Coldplay
Beyonce
Lady Gaga﻿"
ham,Lenny kravitz﻿
ham,But who is here for 50m﻿
ham,WTf¡¡¡¡ Don't compare this shit of half time with the one where the who ( the best) performed ...﻿
ham,Best super Bowl 👁😍👁 Katy we Love You 👁😍👁💖💕🔆👍✌👁﻿
ham,Left shark 💯💯😢😂💦🍆👌👈💯﻿
ham,2018 April?﻿
ham,Fantastico﻿
ham,thats a big lion﻿
ham,"what she would give for having been in that place and seeing it live, she is amazing﻿"
ham,who is this guy play kiss a the girl song called duet blue and tree and beach balls that is cute﻿
ham,super bowl 49 way batter lady gaga those people watched NFL football this video is awesome katy perry eyed on tiger everyone loved restNFL teams﻿
ham,Remarkable show... truly katy perry﻿
ham,This is the Greatest Show...so great﻿
ham,Missy E! yeah! great!﻿
ham,Missy still give a great mf show...gotdamm﻿
ham,And the other girls? Of course they couldn't.﻿
ham,k onda en el minuto 1.42 jajaaja grito silencioso﻿
ham,"Nice vocals
1:01 cough cough﻿"
ham,"This is good but this is no way the best halftime show ever. I mean seriously. Beyonce, Lady Gaga, Coldplay, and Bruno Mars? Katy Perry is beneath them.﻿"
ham,2018- 21-04 who else is watching 👁﻿
ham,2018﻿
spam,Damn she's hot!﻿
ham,This has more views than the Original version﻿
ham,I like that Katy's back dancers mixed up lots of race! There's Asians too!﻿
spam,Go to Honduras plese﻿
ham,Come on taytay﻿
ham,Song at 7:15 ??﻿
ham,Maravilloso﻿
ham,Gaga we want you to back in super bowl﻿
ham,GAGA QUEEN﻿
ham,"Gosto dela, mas que voz estranha no show﻿"
ham,tak﻿
ham,Freaking NAILED IT! So entertaining. Even the entrance has a majestic feeling to it.﻿
ham,FANTASTIC PERFORMANCE.👁️👁️💙﻿
ham,This is so cool!﻿
ham,She literally sounds horrible?﻿
ham,Best Super bowl halftime ever!﻿
ham,she sounds so better in the original vevo vids then i thought about it and thunk is she using auto tune?﻿
ham,"Это фанера, под пре-рекорд поет﻿"
ham,firework is besy﻿
ham,"Still the best half time show to this date imo, best scenes and awesome hits. Katy Perry did that!!!﻿"
ham,"1. Roar
2. Dark Horse
3. I kissed a Girl
4. Teenage Dream
5. California Gurls
6. Get ur Freak on
7. Work it
8. Lose Control
9. Firework﻿"
ham,She nailed it.﻿
ham,It is just not better than Michael Jackson. My Katy is great ❤️﻿
ham,This is fantastic but bruno's is the best.﻿
ham,katy perry is a transgendered  boy - hence the awesome voice - its called castrato﻿
ham,Minute 9:49 they change escenario. Did you guys noticed it? Let me know what you think.﻿
ham,this is one of the best SuperBowl ever this is just my opinion. :)﻿
ham,Beyoncé 2013 is the best one. Idc idc.﻿
ham,"is demar eating a bar of american dad, its ok i swear﻿"
ham,"micheal jackson was still 10x better. his performance had a meaning, message. this is just like ""i am the biggest slut on earth""... yes you are. congrats...﻿"
ham,The sharks were the best performers in my opinion﻿
ham,돈을 얼마나 쳐 바른거야?﻿
ham,I love you katy perry 😍💗﻿
ham,Ho  que presiosa lástima jamas estaré en uno de tus conciertos﻿
ham,Who else came here for left shark?﻿
ham,Perfect diva fron brasil love katy perry﻿
ham,Katy girl u rocked idc what anyone say abt you. You're my girl 😍😍😍😘😘😘😎😎﻿
ham,Well if you forget the tiger and the sharks this was super!!﻿
ham,Tôi yêu katy pery = l'm love katy pery﻿
ham,She's lip syncing :|﻿
ham,Super ball?!﻿
ham,RrOooOARR﻿
ham,OMG her voice...﻿
ham,Blueboard v2m.xyz. toples hp.clipers for u and me. Cover picture jistring cangcuts calendar new edition booking.scene.movie.colour sindrom down rbbis. Isick please me sleep at home yu yu yu yu yu send ticket online me no kuota memory Microsoft and macro i lose language Japan vs ml Korea ..5rb rp no no no no no no no.sub. group wa people tajir dubai.search Hero new 09.15wib﻿
ham,EL LEOOOON﻿
ham,I kissed a girl was difinetly lip sync﻿
ham,Te love ❤❤❤❤❤❤❤❤❤❤❤😍😻💕💓😗💘😙😍😘😗😙😚🦄﻿
ham,THE BEST ONE!!!!! haters shut up and get away from here.﻿
ham,firework gave me goosebumps omg﻿
ham,Super. A laik. A love. Kety forevere. Kazakhstan﻿
ham,The best superbowl halftime show﻿
ham,Give it up for Missi yo﻿
ham,muito lindo amei muito muito muito mesmo﻿
ham,"Sings in I kissed a girl tune
Me: I CLICKED THIS VID
AND I LIKED IT﻿"
ham,Lip singing..﻿
ham,Lloro siempre que veo esto﻿
ham,Ummmmm was she lip syncing the whole time?? Cause she really doesn’t sound this good live...﻿
ham,Si﻿
ham,THE BEST SUPER BOWL﻿
ham,7:23 it kinda sounds like BTS micdrop﻿
ham,ÍCONE QUEEN❤❤❤﻿
ham,I looooove this 😍﻿
ham,Queen😍﻿
ham,Esto jamás será mejor que Gaa. Xoxo.♥﻿
ham,Guauuu eso si que es un verdadero espectáculo.﻿
ham,THE BEST KATY﻿
ham,LOVE YOU﻿
ham,MARAVILHOSA﻿
ham,LINDA﻿
ham,missy😀😀﻿
ham,"What means ""cherry chapstick""? 😦﻿"
ham,"23:33
23:03﻿"
ham,Unbelievable performance😊💝👏﻿
ham,EPIC﻿
ham,"idk i preferred lady gagas by far, katy perry is all about props, her voice is just okay, and missy elliot took up 20% of the performance and lady gaga was all by herself still bringing in more viewers. Lady gaga is the top B﻿"
ham,que cool﻿
ham,She slayed this oml﻿
ham,I FRIGGIN LOVE HER﻿
ham,amazing <3﻿
ham,Either im seeing things or Katy kicked the chick in the red right in her tit at 6:28﻿
ham,Remembering the best super bowl! Katy Perry ✋👌﻿
