ham,2018?﻿
ham,Looking back this trailer is kind of wack﻿
ham,"Avengers infinity war 





Who else is still excited﻿"
ham,"2 days til Avengers: Infinity War. Wow. Thank you Marvel, for this incredible adventure. I am a true Marvel fan, and I after I watch Avengers: Infinity War, I will do anything to keep my friends from spoiling it to others.﻿"
ham,Watching infinity war in 5 mins﻿
ham,good old memories﻿
ham,Why am I watching this 7 years after the movie was released?﻿
ham,"Damn, trailers were so bad back then lol﻿"
ham,I got the tickets of infinity war yesterday!!!!!!!! Boom!!!!!﻿
ham,"TRENT REZNOR, IS THAT U?﻿"
ham,2018 ?﻿
ham,this is so Mission Impossible﻿
ham,Can't believe it is been 7 years after the first one and the 3rd movie for avengers is just arrive tomorrow. and this is my first time watching the trailer so i just realize nick fury quotes was used again in infinity war trailer﻿
ham,Oh my god someone choke me to death this is total cancer.﻿
ham,"Crazy how we all saw this movie but honestly, I don’t remember seeing a lot of trailers for it lol﻿"
ham,There was an idea😎﻿
ham,Why is this on my recommended lol last time is saw this movie btw was 2 years ago on hbo 😂﻿
ham,"Ahhhhh 2012, the year when movie trailers kept doing “bwaaahhhhhhhhhhhsssss”﻿"
ham,Such a. Cute non destructive trailer compared to infinity war trailer﻿
ham,This feels like a Transformers trailer.﻿
ham,"This looks sick, when will it come out?﻿"
ham,A Marvel flick trying to seem like a serious DC movie...at least in the trailer.﻿
ham,Over 6 years ago... Time flies﻿
ham,2 Days Guys woop woop﻿
ham,"LOOK AT WHERE YOU ARE.

LOOK AT WHERE YOU STARTED.﻿"
ham,well will you look at that﻿
ham,infinity war is near﻿
ham,Wow... the difference between this and newer marvel trailers..﻿
ham,"Anyone here, before Infinity War?﻿"
ham,"4 days left for INFINITY WAR ❤️

And still I'm here, were it all started 😌❤️﻿"
ham,cute trailer﻿
ham,I come from the future where Loki died in Avengers: IW. As well as Captain America﻿
ham,The marvel trailers have changed dramatically.﻿
ham,Who else is here before Infinity War﻿
ham,"""In time, You will know what its like to lose, To feel so desperate that you're right, Only to fail all the same""﻿"
ham,2018 anyone????﻿
ham,Infinity war where are you﻿
ham,LMAO this video has early 2000s vibes on it.﻿
ham,Cant wait for this movie haha﻿
ham,i’m from the future and avengers infinity war is comeing out tomorrow﻿
ham,"This is so adorable, what a shit trailers, I was in my high school final year when this came out﻿"
ham,Badass﻿
ham,Oh its mark ruffalo!!﻿
ham,I knew a trailer from 2011 would be weird﻿
ham,Tfw infinity war is about to come out and you get this in your reccomended﻿
ham,Look at this trailer vs infinity war﻿
ham,How far we have come﻿
ham,Love it﻿
ham,....﻿
ham,It seems just like yesterday when I first saw The Avengers Trailer.﻿
ham,"I had watch the movie 50 times but I'm seeing trailer now😁😁
.
.
.
.
.
.
.
WTF and I'm fan of Avengers﻿"
ham,What is with the music ahah﻿
ham,Whos ready for infinity war movie﻿
ham,This trailer looks like something from the 90s compared to infinity war﻿
ham,its interesting how much trailers from marvel have evolved in 6 years﻿
ham,2018?﻿
ham,6 days for infinity war 😂﻿
ham,This trailer aged so poorly. Funny cos the movie is still great today.﻿
ham,"Here we are, 6 years later to infinity war..﻿"
ham,"Wait hold up if we cant protect the world then we will avenge it 
Hmmm could this happen in infinity﻿"
ham,lol its like a transformer trailer XD﻿
ham,Друг﻿
ham,LOol! Can't believe people are still watching this in 2018﻿
ham,in 2012 before seeing this trailer I did not know who was iron man﻿
